Time,Event,Label
0,start,"No-op baseline"
385600,finish,"No-op baseline"
421600,start,Build
449600,start,Parse
519000,finish,Parse
1160600,start,Lower
1507500,finish,Lower
2145800,start,Optimize
2425200,finish,Optimize
3172400,event,"JIT Initialization"
3642800,start,Translate
3858700,finish,Translate
4548300,start,"Optimize LLVM"
12153600,finish,"Optimize LLVM"
13231100,start,Compile
20268500,finish,Compile
20840300,finish,Build
20890000,start,Run
21013200,finish,Run
